State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,source_file,source_district
28,536,4496,802918,104,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0104,Urban,7774,30701,15341,15360,2890,1519,1371,1588,801,787,165,85,80,25079,12845,12234,5622,2496,3126,12261,8579,3682,10289,7524,2765,121,63,58,94,57,37,309,80,229,9765,7324,2441,1972,1055,917,120,62,58,28,17,11,79,20,59,1745,956,789,1899,1017,882,118,60,58,25,15,10,70,17,53,1686,925,761,73,38,35,2,2,0,3,2,1,9,3,6,59,31,28,18440,6762,11678,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4496,802918,105,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0105,Urban,15740,69177,35124,34053,8634,4502,4132,5535,2803,2732,1684,863,821,48276,25797,22479,20901,9327,11574,28067,19186,8881,20868,15182,5686,345,191,154,372,220,152,962,628,334,19189,14143,5046,7199,4004,3195,312,132,180,77,45,32,402,126,276,6408,3701,2707,6872,3794,3078,310,130,180,76,44,32,365,111,254,6121,3509,2612,327,210,117,2,2,0,1,1,0,37,15,22,287,192,95,41110,15938,25172,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4496,802918,107,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0107,Urban,13866,60103,31403,28700,8536,4436,4100,4383,2261,2122,753,416,337,38303,21626,16677,21800,9777,12023,24786,17587,7199,18901,14202,4699,223,121,102,244,168,76,825,456,369,17609,13457,4152,5885,3385,2500,206,72,134,70,35,35,327,131,196,5282,3147,2135,5495,3158,2337,200,70,130,63,33,30,287,111,176,4945,2944,2001,390,227,163,6,2,4,7,2,5,40,20,20,337,203,134,35317,13816,21501,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4496,802918,109,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0109,Urban,12367,51014,26031,24983,5832,2999,2833,4160,2126,2034,1252,634,618,35339,19180,16159,15675,6851,8824,23088,15533,7555,19332,13592,5740,168,88,80,243,157,86,1130,642,488,17791,12705,5086,3756,1941,1815,101,41,60,130,84,46,182,81,101,3343,1735,1608,3459,1784,1675,101,41,60,78,43,35,155,67,88,3125,1633,1492,297,157,140,0,0,0,52,41,11,27,14,13,218,102,116,27926,10498,17428,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4496,802918,110,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0110,Urban,8170,39937,20415,19522,5543,2882,2661,1929,943,986,284,148,136,29582,15777,13805,10355,4638,5717,13802,10459,3343,11484,9268,2216,81,51,30,237,183,54,92,52,40,11074,8982,2092,2318,1191,1127,60,31,29,30,18,12,57,17,40,2171,1125,1046,2227,1137,1090,60,31,29,27,16,11,47,13,34,2093,1077,1016,91,54,37,0,0,0,3,2,1,10,4,6,78,48,30,26135,9956,16179,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4497,802918,99,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0099,Urban,5459,20958,10508,10450,1773,920,853,625,326,299,159,88,71,17371,8927,8444,3587,1581,2006,8759,6090,2669,6808,5259,1549,65,47,18,53,40,13,73,46,27,6617,5126,1491,1951,831,1120,87,42,45,27,19,8,97,14,83,1740,756,984,1908,816,1092,86,42,44,27,19,8,93,13,80,1702,742,960,43,15,28,1,0,1,0,0,0,4,1,3,38,14,24,12199,4418,7781,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4497,802918,100,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0100,Urban,9363,38112,19268,18844,4083,2121,1962,2992,1487,1505,1978,1025,953,29298,15526,13772,8814,3742,5072,16084,11103,4981,11718,8759,2959,238,121,117,175,115,60,270,167,103,11035,8356,2679,4366,2344,2022,142,71,71,78,49,29,124,43,81,4022,2181,1841,4256,2278,1978,138,67,71,78,49,29,118,40,78,3922,2122,1800,110,66,44,4,4,0,0,0,0,6,3,3,100,59,41,22028,8165,13863,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4498,802918,145,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0145,Urban,8240,34659,16654,18005,3380,1642,1738,5062,2410,2652,258,128,130,26156,13238,12918,8503,3416,5087,13969,9463,4506,11022,7861,3161,201,125,76,117,51,66,139,88,51,10565,7597,2968,2947,1602,1345,112,51,61,75,37,38,43,17,26,2717,1497,1220,2894,1577,1317,111,51,60,75,37,38,40,17,23,2668,1472,1196,53,25,28,1,0,1,0,0,0,3,0,3,49,25,24,20690,7191,13499,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4498,802918,146,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0146,Urban,6909,29920,15171,14749,2971,1585,1386,4239,2094,2145,155,84,71,22455,11983,10472,7465,3188,4277,12079,8671,3408,9882,7521,2361,148,84,64,222,141,81,261,162,99,9251,7134,2117,2197,1150,1047,139,59,80,43,16,27,226,69,157,1789,1006,783,1798,908,890,109,46,63,37,11,26,145,32,113,1507,819,688,399,242,157,30,13,17,6,5,1,81,37,44,282,187,95,17841,6500,11341,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
28,536,4498,802918,147,0,WARD,GHMC (M Corp.) (Part) WARD NO.-0147,Urban,9489,41336,21092,20244,4005,2070,1935,2510,1234,1276,61,32,29,33104,17495,15609,8232,3597,4635,15621,12010,3611,12913,10563,2350,261,206,55,127,76,51,524,409,115,12001,9872,2129,2708,1447,1261,96,54,42,49,27,22,173,82,91,2390,1284,1106,2460,1256,1204,94,52,42,48,26,22,150,68,82,2168,1110,1058,248,191,57,2,2,0,1,1,0,23,14,9,222,174,48,25715,9082,16633,DDW_PCA2805_2011_MDDS with UI(1).xlsx,536
