ward_id,Name,source_file,source_district,source_population
1,GHMC (M Corp.) WARD NO.-0001,DDW_PCA2806_2011_MDDS with UI.xlsx,537,44149
2,GHMC (M Corp.) WARD NO.-0002,DDW_PCA2806_2011_MDDS with UI.xlsx,537,45264
2,GHMC (M Corp.) WARD NO.-0002,DDW_PCA2806_2011_MDDS with UI.xlsx,537,13900
3,GHMC (M Corp.) (Part) WARD NO.-0003,DDW_PCA2806_2011_MDDS with UI.xlsx,537,57747
4,GHMC (M Corp.) (Part) WARD NO.-0004,DDW_PCA2806_2011_MDDS with UI.xlsx,537,67130
5,GHMC (M Corp.) (Part) WARD NO.-0005,DDW_PCA2806_2011_MDDS with UI.xlsx,537,57688
6,GHMC (M Corp.) (Part) WARD NO.-0006,DDW_PCA2806_2011_MDDS with UI.xlsx,537,52167
7,GHMC (M Corp.) (Part) WARD NO.-0007,DDW_PCA2806_2011_MDDS with UI.xlsx,537,59061
8,GHMC (M Corp.) (Part) WARD NO.-0008,DDW_PCA2806_2011_MDDS with UI.xlsx,537,75227
9,GHMC (M Corp.) (Part) WARD NO.-0009,DDW_PCA2806_2011_MDDS with UI.xlsx,537,10744
9,GHMC (M Corp.) WARD NO.-0009,DDW_PCA2806_2011_MDDS with UI.xlsx,537,57417
10,GHMC (M Corp.) WARD NO.-0010,DDW_PCA2806_2011_MDDS with UI.xlsx,537,68115
11,GHMC (M Corp.) WARD NO.-0011,DDW_PCA2806_2011_MDDS with UI.xlsx,537,50462
12,GHMC (M Corp.) WARD NO.-0012,DDW_PCA2806_2011_MDDS with UI.xlsx,537,81484
13,GHMC (M Corp.) WARD NO.-0013,DDW_PCA2806_2011_MDDS with UI.xlsx,537,57789
14,GHMC (M Corp.) WARD NO.-0014,DDW_PCA2806_2011_MDDS with UI.xlsx,537,51227
15,GHMC (M Corp.) WARD NO.-0015,DDW_PCA2806_2011_MDDS with UI.xlsx,537,55245
