Sno,Wardno Name,Circleno Name,Zone,Assessor Address,Latitude,Longitude,Category
1,1-KAPRA,1-KAPRA,EAST ZONE,SAI BABA NAGAR KAPRA DAMMAIGUDA ROAD,17.500789,78.586245,TOILETS
2,1-KAPRA,1-KAPRA,EAST ZONE,"SAINIKPURI (E - 61), NEAR HUDA PARK",17.485797,78.552431,TOILETS
3,1-KAPRA,1-KAPRA,EAST ZONE,"BHARAT PETROLEUM ,SAINIKPURI (E - 102 &103),SAINIKPURI MANI ROAD ,BESIDE CANARA BANK",17.483028,78.55188,TOILETS
4,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA, GANDHI NAGAR, COMMUNITY HALL",17.4829138,78.5634731,COMMUNITY HALLS
5,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA,GANDHI NAGAR,COMMUNITY HALL",17.4817474,78.5625964,COMMUNITY HALLS
6,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA, ST COLONY, COMMUNITY HALL",17.4865491,78.5651804,COMMUNITY HALLS
7,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA, YELLAREDDYGUDA COMMUNITY HALL",17.4928047,78.565662,COMMUNITY HALLS
8,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA,VAMPUGUDA COMMUNITY HALL ANGANWADI CENTER",17.4979817,78.5683254,COMMUNITY HALLS
9,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA, VAMPUGUDA COMMUNITY HALL",17.4980354,78.5680317,COMMUNITY HALLS
10,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA, NEW INDIRA NAGAR, COMMUNITY HALL",17.5033175,78.5809816,COMMUNITY HALLS
11,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA, SAI BABA NAGAR, COMMUNITY HALL",17.5028554,78.5840829,COMMUNITY HALLS
12,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA, SAI RAM NAGAR,COMMUNITY HALL",17.4989232,78.5819323,COMMUNITY HALLS
13,1-KAPRA,1-KAPRA,EAST ZONE,"COMMUNITY HALL , KANDIGUDA",17.4962654,78.5432055,COMMUNITY HALLS
14,1-KAPRA,1-KAPRA,EAST ZONE,"KAPRA,VAL VAR NAGAR, COMMUNITY HALL",17.494223,78.5393563,COMMUNITY HALLS
15,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE BANK COLONY,17.4909553,78.566683,OPEN SPACES
16,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, NAYAKRANT",17.4843878,78.5576782,OPEN SPACES
17,1-KAPRA,1-KAPRA,EAST ZONE,"WATER TANK, RAJAKA SANGAM COLONY",17.4898726,78.5666947,OPEN SPACES
18,1-KAPRA,1-KAPRA,EAST ZONE,"WATER TANK, MYTRI VILLA",17.5026804,78.5568071,OPEN SPACES
19,1-KAPRA,1-KAPRA,EAST ZONE,WATER TANK SIVA SAI ENCLAVE,17.5001516,78.5594869,OPEN SPACES
20,1-KAPRA,1-KAPRA,EAST ZONE,"WATER PUMP HOUSE, SAINIKPURI",17.4836453,78.5505322,OPEN SPACES
21,1-KAPRA,1-KAPRA,EAST ZONE,"PUMP HOUSE,O.U.T COLONY",17.4904558,78.543281,OPEN SPACES
22,1-KAPRA,1-KAPRA,EAST ZONE,"OVER HEAD TANK, O.U.T COLONY",17.4914763,78.544267,OPEN SPACES
23,1-KAPRA,1-KAPRA,EAST ZONE,"OHT,LAKE VIEW BESIDE",17.4946606,78.5486803,OPEN SPACES
24,1-KAPRA,1-KAPRA,EAST ZONE,"TEMPLE, SHIVPURI",17.4845092,78.5596753,OPEN SPACES
25,1-KAPRA,1-KAPRA,EAST ZONE,"TEMPLE, SAIRAMANAGAR",17.4998859,78.5823853,OPEN SPACES
26,1-KAPRA,1-KAPRA,EAST ZONE,"TEMPLE, SAIRAMNAGAR",17.4996213,78.5816974,OPEN SPACES
27,1-KAPRA,1-KAPRA,EAST ZONE,"TEMPLE, ESHWARAPURI",17.4897057,78.5520577,OPEN SPACES
28,1-KAPRA,1-KAPRA,EAST ZONE,"KANAKA DURGA TEMPLE,",17.494571,78.5396424,OPEN SPACES
29,1-KAPRA,1-KAPRA,EAST ZONE,"VINAYAKA TEMPLE,HAST",17.4920894,78.5397608,OPEN SPACES
30,1-KAPRA,1-KAPRA,EAST ZONE,"SCHOOL , NEW INDIRA",17.5035563,78.5811327,OPEN SPACES
31,1-KAPRA,1-KAPRA,EAST ZONE,"DHOBI GHAT, OPEN SPACE BANK COLONY",17.4920899,78.5681465,OPEN SPACES
32,1-KAPRA,1-KAPRA,EAST ZONE,"DARGA,SAIRAMNAGAR",17.5014316,78.5846277,OPEN SPACES
33,1-KAPRA,1-KAPRA,EAST ZONE,"CHURCH, WATER TANK,SAIRAMNAGAR",17.5007444,78.5834324,OPEN SPACES
34,1-KAPRA,1-KAPRA,EAST ZONE,"SEPTIC TANK, CHANDRAPURI",17.4879629,78.5579076,OPEN SPACES
35,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, RAMDASS COLONY",17.48824,78.5598253,OPEN SPACES
36,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE SRI RAM NAGAR,17.4838985,78.5642085,OPEN SPACES
37,1-KAPRA,1-KAPRA,EAST ZONE,"SEPTIC TANK, GREEN PARK ENCLAVE",17.4906823,78.5603992,OPEN SPACES
38,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, GREEN PARK ENCLAVE",17.4918399,78.557397,OPEN SPACES
39,1-KAPRA,1-KAPRA,EAST ZONE,"PARK, PRATHANAPURI COLONY",17.4901186,78.5575861,OPEN SPACES
40,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, SAROJINI COLONY",17.4809525,78.5610301,OPEN SPACES
41,1-KAPRA,1-KAPRA,EAST ZONE,"SEPTIC TANK,  DHABA GARDENS",17.4893047,78.5636202,OPEN SPACES
42,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, DHABA GARDENS",17.4897316,78.564248,OPEN SPACES
43,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE DHABA GARDENS,17.4903107,78.5637911,OPEN SPACES
44,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, SHALIVAHANA NAGAR",17.4942073,78.563489,OPEN SPACES
45,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE SAINIKPURI,17.4896814,78.5409924,OPEN SPACES
46,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, SHALIVAHANA NAGAR",17.4972126,78.563477,OPEN SPACES
47,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, SAPTAGIRI",17.4997023,78.5631748,OPEN SPACES
48,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, SAPTAGIRI",17.4985024,78.5657918,OPEN SPACES
49,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSAPCE, IOB COLONY",17.5021163,78.5641634,OPEN SPACES
50,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE,IOB COLONY",17.5017913,78.5659252,OPEN SPACES
51,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, IOB COLONY",17.5022261,78.5642124,OPEN SPACES
52,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,IOB COLONY",17.5032541,78.5646935,OPEN SPACES
53,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, IOB COLONY",17.5037421,78.5644908,OPEN SPACES
54,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,GOPALREDDY",17.5029277,78.5668241,OPEN SPACES
55,1-KAPRA,1-KAPRA,EAST ZONE,"OPEN SPACE, GOPAL REDDY NAGAR",17.5025445,78.5674916,OPEN SPACES
56,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,GOPALREDDY",17.4989801,78.5662686,OPEN SPACES
57,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE VAMPUGUDA HOUSE,17.4990624,78.5683834,OPEN SPACES
