ward_id,amenity_2bhk,amenity_anganwadi_centers,amenity_annapurna_meals,amenity_community_halls,amenity_dumper_bins,amenity_fire_stations,amenity_heritage_buildings,amenity_hospitals,amenity_market_complexes,amenity_nalas,amenity_night_shelters,amenity_open_spaces,amenity_parks,amenity_play_grounds,amenity_toilets,amenity_transfer_stations,amenity_water_body
1,1,0,0,9,13,0,0,5,1,194,0,75,24,5,2,0,684
2,1,0,3,4,11,0,0,8,0,107,0,23,13,14,8,1,213
3,1,0,0,9,8,0,0,4,1,136,0,9,2,2,4,0,792
4,0,0,0,2,5,0,0,0,0,0,0,6,1,0,2,0,28
5,2,0,1,16,12,1,0,0,0,15,0,33,2,0,1,1,944
6,0,0,1,7,15,0,0,11,2,150,0,5,6,2,1,0,1121
7,0,0,2,19,5,0,0,0,1,207,0,12,9,2,4,0,251
8,0,1,1,12,6,0,0,4,2,0,0,1,4,1,8,0,91
9,0,0,1,18,3,0,0,0,0,107,0,7,2,0,1,0,1872
10,0,0,0,23,6,0,0,8,1,133,1,3,2,1,14,2,2567
11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1705
12,0,0,0,12,3,0,0,4,0,155,0,8,4,0,3,0,178
13,2,0,0,7,4,0,0,1,0,0,0,3,6,0,4,0,0
14,0,0,1,16,4,0,0,4,0,75,0,15,12,4,5,0,119
15,0,0,1,15,1,0,0,6,0,0,0,2,5,1,8,0,0
16,1,0,1,13,0,0,0,1,0,9,0,21,2,0,1,0,102
17,0,0,1,21,11,0,0,6,0,75,0,4,8,1,5,0,69
18,0,0,2,8,13,0,0,3,0,212,0,0,1,1,5,0,29
19,0,0,0,13,0,0,1,4,0,0,1,3,1,1,7,0,183
20,0,0,0,0,19,0,0,5,0,0,0,1,0,0,0,0,0
21,0,0,0,9,6,0,0,2,0,0,0,3,3,1,0,0,768
22,1,0,1,6,11,0,0,4,0,63,0,2,6,0,10,0,2345
23,0,0,0,4,2,0,0,3,0,0,0,0,1,0,0,0,2
24,0,6,2,19,37,0,2,8,0,0,0,7,18,5,1,0,37
25,0,7,0,12,37,0,0,7,0,121,0,6,10,4,3,0,475
26,0,16,3,11,31,0,1,3,1,33,0,2,4,2,1,0,714
27,0,1,0,5,36,1,0,15,0,27,0,3,8,10,1,0,0
28,1,10,0,10,64,0,0,6,1,66,0,0,5,4,0,0,360
29,1,5,0,2,24,0,0,6,0,0,0,0,1,0,0,0,4
30,1,4,2,5,3,0,0,6,0,121,0,3,3,3,3,1,297
31,0,11,1,0,21,0,0,2,0,117,0,1,0,5,0,0,229
32,0,7,1,3,29,2,11,14,0,48,0,2,1,2,6,0,48
33,0,0,2,4,26,0,0,9,0,0,0,2,0,5,0,0,0
34,0,9,0,1,9,0,0,7,0,69,0,0,0,0,0,0,251
35,0,13,0,13,19,0,0,3,0,30,0,1,0,3,1,0,103
36,0,10,0,5,14,0,1,2,0,74,0,1,0,2,0,0,257
37,0,8,0,9,11,0,0,4,0,6,0,1,0,3,0,0,20
38,0,10,1,9,15,0,0,6,0,0,0,7,26,2,3,0,254
39,0,7,0,1,24,0,0,5,0,0,0,4,3,4,1,0,0
40,0,12,1,6,6,0,0,8,0,0,0,0,0,3,0,0,0
41,0,5,1,1,5,0,0,5,0,29,0,0,0,0,1,0,296
42,0,9,0,1,9,0,0,0,1,1,0,0,0,1,0,0,179
43,0,1,1,1,10,0,0,12,1,29,0,0,0,1,4,0,239
44,0,12,0,5,26,0,0,1,0,131,0,2,0,2,1,0,375
45,1,15,0,7,22,0,0,5,0,69,0,3,0,4,0,0,128
46,0,11,0,2,8,0,1,2,0,53,0,0,0,0,2,0,212
47,0,8,0,2,23,0,0,2,0,21,0,2,0,2,0,0,44
48,0,9,0,3,41,0,1,13,1,0,0,1,1,3,2,0,38
49,0,9,2,6,13,1,9,13,1,67,1,2,1,3,11,0,71
50,0,9,3,13,37,0,3,9,1,64,0,0,0,0,11,0,61
51,2,9,2,11,28,0,2,2,1,58,0,0,0,3,1,0,45
52,0,7,0,8,36,0,2,8,0,0,0,2,0,2,1,0,63
53,0,4,1,2,28,1,0,9,0,127,0,3,0,1,3,0,12
