ward_id,amenity_count
1,1013
2,406
3,968
4,44
5,1028
6,1321
7,512
8,131
9,2011
10,2761
11,1713
12,367
13,27
14,255
15,39
16,151
17,201
18,274
19,214
20,25
21,792
22,2449
23,12
24,142
25,682
26,822
27,107
28,527
29,43
30,452
31,387
32,174
33,48
34,346
35,186
36,366
37,62
38,333
39,49
40,36
41,343
42,201
43,299
44,555
45,254
46,291
47,104
48,113
49,210
50,211
51,164
52,129
53,191
54,144
55,616
56,448
57,66
58,590
59,1293
60,2107
61,371
62,203
63,139
64,57
65,249
66,618
67,93
68,853
69,604
70,60
71,123
72,104
73,216
74,243
75,222
76,238
77,264
78,234
79,229
80,82
81,977
82,1151
83,256
84,105
85,366
86,303
87,452
88,259
89,379
90,610
91,2171
92,667
93,1182
94,551
95,401
96,162
97,546
98,443
99,601
100,240
101,77
102,253
103,55
104,840
105,3116
106,942
107,777
108,321
109,419
110,1211
111,45
112,385
113,902
114,282
115,1921
116,549
117,313
118,1080
119,63
120,387
121,575
122,147
123,186
124,527
125,1112
126,307
127,166
128,2535
129,836
130,1026
131,755
132,968
133,1097
134,600
135,571
136,986
137,63
138,451
139,599
140,606
141,285
142,70
143,506
144,245
145,351
146,376
147,365
148,623
149,2197
150,382
