ward_id,year,ward_name,worldpop_population,udise_source_year,udise_school_count,udise_student_count,udise_teacher_count,udise_classroom_count,udise_electricity_share,udise_library_share,udise_playground_share,udise_medical_checkup_share,udise_ramp_share,udise_internet_share,udise_computer_desktop_share,udise_boundary_wall_share,udise_government_school_share,udise_student_teacher_ratio,udise_data_available,udise_school_count_missing,udise_student_count_missing,udise_teacher_count_missing,udise_classroom_count_missing,udise_electricity_share_missing,udise_library_share_missing,udise_playground_share_missing,udise_medical_checkup_share_missing,udise_ramp_share_missing,udise_internet_share_missing,udise_computer_desktop_share_missing,udise_boundary_wall_share_missing,udise_government_school_share_missing,udise_student_teacher_ratio_missing,udise_drinking_water_share,udise_ict_lab_share,udise_drinking_water_share_missing,udise_ict_lab_share_missing,census2011_population_verified,census2011_TOT_M,census2011_TOT_F,census2011_No_HH,census2011_P_06,census2011_P_SC,census2011_P_ST,census2011_P_LIT,census2011_P_ILL,census2011_TOT_WORK_P,census2011_MAINWORK_P,census2011_MARGWORK_P,census2011_NON_WORK_P,census2011_literacy_rate,census2011_work_participation_rate,census2011_non_worker_rate,census2011_sc_share,census2011_st_share,census2011_female_share,census2011_child_share,census2011_main_worker_share,census2011_marginal_worker_share,census2011_source_district,census2011_source_rows,census2011_sc_st_share,census2011_literacy_risk
1,2011,Kapra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44149.0,22411.0,21738.0,10899.0,4553.0,3672.0,871.0,34890.0,9259.0,17074.0,13965.0,3109.0,27075.0,0.8811496110718254,0.3867358264060341,0.6132641735939659,0.0831728917982287,0.0197286461754513,0.4923780833087952,0.1031280436702983,0.316315205327414,0.0704206210786201,537,1.0,0.10290153797368,0.11885038892817457
1,2015,Kapra,82855.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018,Kapra,84781.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021,Kapra,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023,Kapra,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2011,Dr A S Rao Nagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59164.0,30605.0,28559.0,14510.0,7279.0,6078.0,2178.0,42478.0,16686.0,24260.0,20107.0,4153.0,34904.0,0.8186951912884264,0.4100466499898587,0.5899533500101413,0.1027313907105672,0.0368129267797985,0.4827090798458522,0.1230308971671962,0.3398519369887093,0.0701947130011493,537,2.0,0.1395443174903657,0.18130480871157362
2,2015,Dr A S Rao Nagar,57553.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,Dr A S Rao Nagar,58902.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,Dr A S Rao Nagar,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023,Dr A S Rao Nagar,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2011,Cherlapally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57747.0,29417.0,28330.0,14042.0,6589.0,9686.0,1743.0,42132.0,15615.0,22517.0,18112.0,4405.0,35230.0,0.8235662066538958,0.3899250177498398,0.6100749822501602,0.1677316570557777,0.0301833861499298,0.490588255666961,0.1141011654285071,0.3136439988224496,0.0762810189273901,537,1.0,0.1979150432057075,0.1764337933461042
3,2015,Cherlapally,82983.91494603455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2018,Cherlapally,84926.88058839738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021,Cherlapally,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023,Cherlapally,,2023-24,1.0,728.0,11.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,17.0,1.0,0.0,66.18181818181819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2011,Meerpet H.B Colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67130.0,34145.0,32985.0,16611.0,7682.0,6794.0,1561.0,50324.0,16806.0,26278.0,21575.0,4703.0,40852.0,0.8465213295653344,0.3914494264859228,0.6085505735140772,0.1012066140324743,0.0232533889468196,0.4913600476687025,0.1144346789810814,0.3213913302547296,0.0700580962311932,537,1.0,0.12446000297929391,0.15347867043466557
4,2015,Meerpet H.B Colony,18284.6550552845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018,Meerpet H.B Colony,18699.66634452343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021,Meerpet H.B Colony,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,Meerpet H.B Colony,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2011,Mallapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57688.0,29544.0,28144.0,14013.0,6633.0,6498.0,1435.0,41412.0,16276.0,21767.0,18512.0,3255.0,35921.0,0.8111252570757027,0.3773228401053945,0.6226771598946055,0.1126404104839828,0.0248751906809041,0.4878657606434614,0.1149805852170295,0.3208986270974899,0.0564242130079045,537,1.0,0.1375156011648869,0.1888747429242973
5,2015,Mallapur,58989.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018,Mallapur,60398.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021,Mallapur,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023,Mallapur,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2011,Nacharam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52167.0,26057.0,26110.0,12750.0,5453.0,3193.0,1277.0,39473.0,12694.0,19197.0,17006.0,2191.0,32970.0,0.84499293573661,0.3679912588417965,0.6320087411582035,0.0612072766308202,0.0244790768110107,0.5005079839745433,0.1045296835163992,0.3259915272106887,0.0419997316311077,537,1.0,0.0856863534418309,0.15500706426338995
6,2015,Nacharam,55069.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2018,Nacharam,56410.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021,Nacharam,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023,Nacharam,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2011,Chilka Nagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59061.0,30161.0,28900.0,14425.0,6902.0,4320.0,1205.0,42229.0,16832.0,22846.0,19806.0,3040.0,36215.0,0.8096205832167028,0.3868204060208936,0.6131795939791064,0.0731447147864072,0.020402634564264,0.4893245966035116,0.1168622271888386,0.3353481993193478,0.0514722067015458,537,1.0,0.0935473493506712,0.19037941678329717
7,2015,Chilka Nagar,34916.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2018,Chilka Nagar,35741.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021,Chilka Nagar,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023,Chilka Nagar,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2011,Habsiguda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75227.0,38377.0,36850.0,18366.0,7226.0,5266.0,783.0,59411.0,15816.0,29125.0,24069.0,5056.0,46102.0,0.8736783282598786,0.3871615244526566,0.6128384755473434,0.0700014622409507,0.0104084969492336,0.4898507184920307,0.0960559373629149,0.3199516131176306,0.0672099113350259,537,1.0,0.0804099591901843,0.12632167174012143
8,2015,Habsiguda,50965.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2018,Habsiguda,52111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021,Habsiguda,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023,Habsiguda,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2011,Ramanthapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68161.0,34810.0,33351.0,16118.0,7862.0,5049.0,1693.0,49473.0,18688.0,24852.0,21605.0,3247.0,43309.0,0.8204613675185326,0.3646073267704405,0.6353926732295594,0.0740746174498613,0.0248382506125203,0.4892973988057686,0.1153445518698376,0.3169701148750752,0.0476372118953653,537,2.0,0.0989128680623816,0.1795386324814674
9,2015,Ramanthapur,27659.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2018,Ramanthapur,28363.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021,Ramanthapur,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023,Ramanthapur,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2011,Uppal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68115.0,35052.0,33063.0,16304.0,7441.0,5772.0,3056.0,50987.0,17128.0,24414.0,20944.0,3470.0,43701.0,0.8403434749645647,0.3584232547896939,0.641576745210306,0.0847390442633781,0.0448653013286353,0.4853996916978639,0.1092417235557513,0.3074799970637892,0.0509432577259047,537,1.0,0.1296043455920134,0.15965652503543526
10,2015,Uppal,63947.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2018,Uppal,65465.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021,Uppal,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023,Uppal,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,Nagole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50462.0,25680.0,24782.0,12332.0,4775.0,2385.0,578.0,41928.0,8534.0,17879.0,16122.0,1757.0,32583.0,0.9177227657758223,0.3543062106139273,0.6456937893860727,0.0472632872260314,0.0114541635289921,0.4911022155285165,0.0946256589116563,0.3194879315128215,0.0348182791011057,537,1.0,0.058717450755023506,0.08227723422417765
11,2015,Nagole,8861.320796996355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2018,Nagole,9069.302236437798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021,Nagole,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2023,Nagole,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2011,Mansoorabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81484.0,41850.0,39634.0,19401.0,9741.0,6599.0,4094.0,58101.0,23383.0,28652.0,24472.0,4180.0,52832.0,0.8098490445060842,0.3516273133375877,0.6483726866624122,0.0809852240930734,0.050242992489323,0.4864022384762653,0.1195449413381768,0.3003288989249423,0.0512984144126454,537,1.0,0.13122821658239642,0.1901509554939158
12,2015,Mansoorabad,90329.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2018,Mansoorabad,92545.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021,Mansoorabad,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2023,Mansoorabad,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2011,Hayath Nagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57789.0,29739.0,28050.0,13591.0,6772.0,6319.0,1757.0,42166.0,15623.0,20641.0,17894.0,2747.0,37148.0,0.8265088107885606,0.3571787018290678,0.6428212981709321,0.109346069321151,0.0304037100486251,0.4853864922390074,0.1171849313883265,0.3096437038190659,0.0475349980100019,537,1.0,0.1397497793697761,0.17349118921143936
13,2015,Hayath Nagar,56450.615976676345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2018,Hayath Nagar,57764.90086853504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021,Hayath Nagar,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2023,Hayath Nagar,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2011,BN Reddy Nagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51227.0,26325.0,24902.0,12394.0,5589.0,2902.0,548.0,39108.0,12119.0,18722.0,16056.0,2666.0,32505.0,0.8569174810464963,0.365471333476487,0.634528666523513,0.0566498135748726,0.0106974837488043,0.4861108399867258,0.1091026216643566,0.3134284654576688,0.0520428680188182,537,1.0,0.0673472973236769,0.14308251895350366
14,2015,BN Reddy Nagar,76335.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2018,BN Reddy Nagar,78162.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021,BN Reddy Nagar,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2023,BN Reddy Nagar,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2011,Vanasthalipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55245.0,27792.0,27453.0,13608.0,5536.0,2770.0,817.0,43136.0,12109.0,21453.0,18665.0,2788.0,33792.0,0.8677704238669054,0.3883247352701602,0.6116752647298398,0.0501402841886143,0.014788668657797,0.4969318490361119,0.100208163634718,0.337858629740248,0.0504661055299122,537,1.0,0.0649289528464113,0.1322295761330946
15,2015,Vanasthalipuram,51333.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2018,Vanasthalipuram,52594.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021,Vanasthalipuram,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2023,Vanasthalipuram,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2011,Hasthinapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37079.0,18845.0,18234.0,8915.0,3592.0,1217.0,380.0,30403.0,6676.0,13449.0,11871.0,1578.0,23630.0,0.9079045599784992,0.3627120472504652,0.6372879527495348,0.0328218128860001,0.0102483885757436,0.4917608349739745,0.0968742414843981,0.3201542652175085,0.0425577820329566,537,1.0,0.0430702014617437,0.09209544002150083
16,2015,Hasthinapuram,58322.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2018,Hasthinapuram,59736.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021,Hasthinapuram,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2023,Hasthinapuram,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2011,Champapet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33864.0,17338.0,16526.0,8390.0,2898.0,1087.0,212.0,28007.0,5857.0,12585.0,10575.0,2010.0,21279.0,0.9044435832848932,0.3716335931963146,0.6283664068036854,0.032098984171982,0.0062603354594849,0.4880108669974013,0.0855776045357902,0.3122785258681786,0.059355067328136,537,2.0,0.0383593196314669,0.09555641671510684
17,2015,Champapet,42803.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2018,Champapet,43863.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021,Champapet,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2023,Champapet,,2023-24,3.0,1384.0,18.0,11.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.6666666666666665,0.6666666666666666,76.88888888888889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2011,Lingojiguda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25242.0,13010.0,12232.0,5758.0,2517.0,2580.0,181.0,20150.0,5092.0,9825.0,7052.0,2773.0,15417.0,0.8866886688668867,0.3892322319942952,0.6107677680057048,0.1022106013786546,0.0071705887013707,0.4845891767688772,0.0997147611124316,0.2793756437683226,0.1098565882259725,536,1.0,0.10938119008002531,0.11331133113311331
18,2015,Lingojiguda,44650.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2018,Lingojiguda,45741.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021,Lingojiguda,,2021-22,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2023,Lingojiguda,,2023-24,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2011,Saroornagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45226.0,22908.0,22318.0,10382.0,4803.0,3878.0,831.0,35572.0,9654.0,15602.0,12710.0,2892.0,29624.0,0.8799940627860376,0.3449785521602618,0.6550214478397383,0.085747136602839,0.018374386414894,0.4934772033785875,0.10619997346659,0.2810330340954318,0.0639455180648299,536,1.0,0.104121523017733,0.12000593721396235
19,2015,Saroornagar,36690.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2018,Saroornagar,37565.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
