ward_id,ward_name,pop_annualized_growth_pct,pop_growth_z,infra_improvement_z,pressure_zscore,pressure_data_coverage,n_udise_signals_used,pressure_rank,udise_improvement_z,udise_imputed,udise_improvement_z_used,amenity_count,pressure_confidence,pressure_uncertainty
34,Talab Chanchalam,0.8778765056169036,2.033345394969309,-1.1752119406482862,2.8358558015753537,full,5,1.0,-1.1752119406482862,False,-1.1752119406482862,346,high,0.5
72,Asif Nagar,0.8645379033284772,1.6488293438480042,-0.763014256536591,2.1316872198970773,full,5,2.0,-0.763014256536591,False,-0.763014256536591,104,high,0.5
47,Nawab Saheb Kunta,0.8544898731651873,1.3591716423594158,-0.9774698186537816,2.0652204558907528,full,5,3.0,-0.9774698186537816,False,-0.9774698186537816,104,high,0.5
146,Boudha Nagar,0.8742712749694848,1.9294162859104211,-0.324953672657765,1.9925054961413746,full,5,4.0,-0.324953672657765,False,-0.324953672657765,376,high,0.5
88,Bholakpur,0.8445102415605366,1.0714856874677805,-1.0181858570739388,1.8469382196141768,full,5,5.0,-1.0181858570739388,False,-1.0181858570739388,259,high,0.5
103,Borabanda,0.87505690953813,1.9520640188158371,0.0220730464404086,1.7058059194524018,full,5,6.0,0.0220730464404086,False,0.0220730464404086,55,high,0.5
48,Shalibanda,0.8553571748921129,1.384173619924748,-0.5404383998851274,1.7010517784962498,full,5,7.0,-0.5404383998851274,False,-0.5404383998851274,113,high,0.5
37,Kurmaguda,0.8450146959284144,1.0860277509698597,-0.7399232755947434,1.6138511082829068,full,5,8.0,-0.7399232755947434,False,-0.7399232755947434,62,high,0.5
130,Subash Nagar,0.8684161569807669,1.7606289722782733,,1.556116772492067,population_only,0,9.0,,True,0.0,1026,medium,0.8
23,Gaddiannaram,0.824852390909947,0.5048026915847961,-1.219950265507156,1.5244080650695295,full,5,10.0,-1.219950265507156,False,-1.219950265507156,12,high,0.5
102,Rahmath Nagar,0.855215217957217,1.380081383058009,-0.2772891058242588,1.4648526501558925,full,5,11.0,-0.2772891058242588,False,-0.2772891058242588,253,high,0.5
53,Doodh Bowli,0.8509495996636973,1.257115073219222,-0.3992505735187578,1.463964529070159,full,5,12.0,-0.3992505735187578,False,-0.3992505735187578,191,high,0.5
54,Jahanuma,0.8535008124714416,1.3306596810568143,-0.3230001491866535,1.4615730164364966,full,5,13.0,-0.3230001491866535,False,-0.3230001491866535,144,high,0.5
56,Kishanbagh,0.8317444268075125,0.7034815613954358,-0.8971122124104409,1.4146710389200807,full,5,14.0,-0.8971122124104409,False,-0.8971122124104409,448,high,0.5
64,Dattatreya Nagar,0.8645881004218925,1.6502763911263048,0.1178306888225026,1.3544389521220646,full,5,15.0,0.1178306888225026,False,0.1178306888225026,57,high,0.5
44,Uppuguda,0.8577908935683443,1.4543311877635177,-0.0481668437436087,1.3279699608936206,full,5,16.0,-0.0481668437436087,False,-0.0481668437436087,555,high,0.5
126,Jagathgirigutta,0.8592173653994228,1.4954525364372115,,1.3217428606803272,population_only,0,17.0,,True,0.0,307,medium,0.8
70,Mehdipatnam,0.8441452582674813,1.060964200168274,-0.3505402552761276,1.2475460714031446,full,5,18.0,-0.3505402552761276,False,-0.3505402552761276,60,high,0.5
33,Moghalpura,0.8587655196879318,1.4824270390918577,0.093332855243528,1.2277389456226209,full,5,19.0,0.093332855243528,False,0.093332855243528,48,high,0.5
31,Rein Bazar,0.85742680045795,1.4438353620374016,0.0559928158226612,1.2266326964665648,full,5,20.0,0.0559928158226612,False,0.0559928158226612,387,high,0.5
52,Puranapool,0.8498417547083248,1.2251788809343584,-0.155382978104661,1.2201977237336405,full,5,21.0,-0.155382978104661,False,-0.155382978104661,129,high,0.5
81,Nallakunta,0.826038069274837,0.5389826118574821,-0.7820128616042048,1.1675504862218826,full,5,22.0,-0.7820128616042048,False,-0.7820128616042048,977,high,0.5
29,Chawni,0.8374991303665036,0.8693741969226951,-0.4184049614304344,1.138192531834751,full,5,23.0,-0.4184049614304344,False,-0.4184049614304344,43,high,0.5
39,Santhosh Nagar,0.8335427198040035,0.7553215148491653,-0.5256647212453379,1.132188665928123,full,5,24.0,-0.5256647212453379,False,-0.5256647212453379,49,high,0.5
117,Moosapet,0.8496259765526037,1.218958576695429,,1.0773660527205127,population_only,0,25.0,,True,0.0,313,medium,0.8
